  0.160414E-02  0.241441E+08  0.241412E+08  0.177165E+07  0.171792E+07  0.000000E+00  0.241436E+08  0.241436E+08  0.241442E+08 -0.570782E+00  0.220008E+08  0.219998E+08  0.211490E+03
  0.177269E-02  0.240816E+08  0.240784E+08  0.152191E+07  0.146157E+07  0.000000E+00  0.240811E+08  0.240811E+08  0.240815E+08 -0.569296E+00  0.219799E+08  0.219788E+08  0.203787E+03
  0.195896E-02  0.240171E+08  0.240137E+08  0.117876E+07  0.111261E+07  0.000000E+00  0.240165E+08  0.240165E+08  0.240169E+08 -0.567765E+00  0.219621E+08  0.219610E+08  0.194154E+03
  0.216480E-02  0.239487E+08  0.239450E+08  0.864056E+06  0.811624E+06  0.000000E+00  0.239481E+08  0.239481E+08  0.239484E+08 -0.566142E+00  0.219351E+08  0.219339E+08  0.182744E+03
  0.239226E-02  0.238786E+08  0.238747E+08  0.694235E+06  0.673942E+06  0.000000E+00  0.238780E+08  0.238780E+08  0.238782E+08 -0.564480E+00  0.218932E+08  0.218920E+08  0.169809E+03
  0.264363E-02  0.238079E+08  0.238039E+08  0.613392E+06  0.477884E+06  0.000000E+00  0.238072E+08  0.238072E+08  0.238074E+08 -0.562804E+00  0.218440E+08  0.218428E+08  0.155803E+03
  0.292141E-02  0.237332E+08  0.237291E+08  0.487586E+06  0.390386E+06  0.000000E+00  0.237325E+08  0.237325E+08  0.237327E+08 -0.561036E+00  0.217950E+08  0.217937E+08  0.141309E+03
  0.322838E-02  0.236510E+08  0.236469E+08  0.355160E+06  0.315957E+06  0.000000E+00  0.236503E+08  0.236503E+08  0.236504E+08 -0.559090E+00  0.217380E+08  0.217367E+08  0.126896E+03
  0.356760E-02  0.235616E+08  0.235576E+08  0.312084E+06  0.256358E+06  0.000000E+00  0.235609E+08  0.235609E+08  0.235610E+08 -0.556976E+00  0.216655E+08  0.216642E+08  0.113116E+03
  0.394247E-02  0.234643E+08  0.234604E+08  0.256017E+06  0.208810E+06  0.000000E+00  0.234637E+08  0.234637E+08  0.234638E+08 -0.554676E+00  0.215849E+08  0.215837E+08  0.100531E+03
  0.435672E-02  0.233564E+08  0.233525E+08  0.186983E+06  0.168995E+06  0.000000E+00  0.233558E+08  0.233558E+08  0.233558E+08 -0.552123E+00  0.214928E+08  0.214916E+08  0.895121E+02
  0.481451E-02  0.232373E+08  0.232334E+08  0.170468E+06  0.137750E+06  0.000000E+00  0.232367E+08  0.232367E+08  0.232367E+08 -0.549307E+00  0.213854E+08  0.213842E+08  0.801563E+02
  0.532039E-02  0.231051E+08  0.231011E+08  0.121282E+06  0.112188E+06  0.000000E+00  0.231044E+08  0.231044E+08  0.231045E+08 -0.546180E+00  0.212674E+08  0.212662E+08  0.723091E+02
  0.587943E-02  0.229582E+08  0.229541E+08  0.103908E+06  0.917691E+05  0.000000E+00  0.229575E+08  0.229575E+08  0.229575E+08 -0.542706E+00  0.211344E+08  0.211332E+08  0.655385E+02
  0.649722E-02  0.227947E+08  0.227904E+08  0.847356E+05  0.747287E+05  0.000000E+00  0.227940E+08  0.227940E+08  0.227940E+08 -0.538840E+00  0.209883E+08  0.209871E+08  0.593820E+02
  0.717991E-02  0.226129E+08  0.226086E+08  0.679566E+05  0.606757E+05  0.000000E+00  0.226123E+08  0.226123E+08  0.226123E+08 -0.534543E+00  0.208252E+08  0.208241E+08  0.535533E+02
  0.793435E-02  0.224113E+08  0.224068E+08  0.561673E+05  0.489611E+05  0.000000E+00  0.224106E+08  0.224106E+08  0.224106E+08 -0.529775E+00  0.206417E+08  0.206405E+08  0.480678E+02
  0.876805E-02  0.221882E+08  0.221835E+08  0.465591E+05  0.395814E+05  0.000000E+00  0.221874E+08  0.221874E+08  0.221875E+08 -0.524501E+00  0.204364E+08  0.204352E+08  0.431130E+02
  0.968935E-02  0.219420E+08  0.219371E+08  0.352235E+05  0.322248E+05  0.000000E+00  0.219412E+08  0.219412E+08  0.219412E+08 -0.518679E+00  0.202101E+08  0.202090E+08  0.387752E+02
  0.107075E-01  0.216707E+08  0.216655E+08  0.285713E+05  0.261192E+05  0.000000E+00  0.216699E+08  0.216699E+08  0.216699E+08 -0.512265E+00  0.199626E+08  0.199614E+08  0.349110E+02
